"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0055254,4,nm0921131,actress,
tt0055254,5,nm0314671,director,
tt0055254,6,nm0527217,director,
tt0055254,7,nm0718627,director,
tt0055254,8,nm0670328,writer,story
tt0055254,9,nm0807977,writer,"based on the book ""The Hundred and One Dalmatians"" by"
tt0055614,10,nm0077086,composer,
tt0055614,1,nm0000081,actress,
tt0055614,2,nm0001995,actor,
tt0055614,3,nm0000937,actor,
tt0055614,4,nm0848560,actor,
tt0055614,5,nm0730385,director,
tt0055614,6,nm0936404,director,
tt0055614,7,nm0499626,writer,screenplay by
tt0055614,8,nm0491306,writer,book by
tt0055614,9,nm0000636,writer,"play ""Romeo and Juliet"""
tt0055630,10,nm0613499,production_designer,
tt0055630,1,nm0001536,actor,
tt0055630,2,nm0867391,actor,
tt0055630,3,nm0619938,actor,
tt0055630,4,nm0875362,actress,
tt0055630,5,nm0000041,director,
tt0055630,6,nm0452878,writer,screenplay
tt0055630,7,nm0849083,producer,producer
tt0055630,8,nm0766496,composer,
tt0055630,9,nm0594335,cinematographer,
tt0055928,10,nm0542554,writer,treatment
tt0055928,1,nm0000125,actor,
tt0055928,2,nm0000266,actress,
tt0055928,3,nm0496866,actor,
tt0055928,4,nm0936476,actor,
tt0055928,5,nm0950109,director,
tt0055928,6,nm0537363,writer,screenplay by
tt0055928,7,nm0367820,writer,screenplay by
tt0055928,8,nm0558435,writer,screenplay by
tt0055928,9,nm0001220,writer,based on the novel by
tt0056172,10,nm0002875,cinematographer,director of photography
tt0056172,1,nm0000564,actor,
tt0056172,2,nm0000027,actor,
tt0056172,3,nm0000063,actor,
tt0056172,4,nm0370144,actor,
tt0056172,5,nm0000180,director,
tt0056172,6,nm0004122,writer,screenplay by
tt0056172,7,nm0933858,writer,screenplay by
tt0056172,8,nm0818545,producer,producer
tt0056172,9,nm0003574,composer,
tt0056592,10,nm0005737,cinematographer,director of photography
tt0056592,1,nm0000060,actor,
tt0056592,2,nm0576345,actor,
tt0056592,3,nm0653942,actor,
tt0056592,4,nm0614677,actress,
tt0056592,5,nm0612322,director,
tt0056592,6,nm0497369,writer,"based on her novel ""To Kill a Mockingbird"""
tt0056592,7,nm0285210,writer,screenplay by
tt0056592,8,nm0001587,producer,producer
tt0056592,9,nm0000930,composer,
tt0056801,10,nm0000065,composer,
tt0056801,1,nm0000052,actor,
tt0056801,2,nm0000733,actress,
tt0056801,3,nm0001012,actress,
tt0056801,4,nm0590452,actress,
tt0056801,5,nm0000019,director,
tt0056801,6,nm0280919,writer,story
tt0056801,7,nm0684083,writer,screenplay
tt0056801,8,nm0740021,writer,screenplay
tt0056801,9,nm0729939,producer,producer
tt0056869,10,nm0102327,production_designer,
tt0056869,1,nm0001792,actor,
tt0056869,2,nm0001335,actress,
tt0056869,3,nm0001788,actress,
tt0056869,4,nm0687189,actress,
tt0056869,5,nm0000033,director,
tt0056869,6,nm0238898,writer,from the story by
tt0056869,7,nm0402805,writer,screenplay by
tt0056869,8,nm0122079,cinematographer,director of photography
tt0056869,9,nm0866462,editor,
tt0057012,10,nm0367431,editor,film editor
tt0057012,1,nm0000634,actor,
tt0057012,2,nm0001715,actor,
tt0057012,3,nm0001330,actor,
tt0057012,4,nm0943978,actor,
tt0057012,5,nm0000040,director,
tt0057012,6,nm0816143,writer,screenplay
tt0057012,7,nm0313570,writer,screenplay
tt0057012,8,nm0006145,composer,
tt0057012,9,nm0852405,cinematographer,director of photography
tt0057076,10,nm0110482,producer,producer
tt0057076,1,nm0000125,actor,
tt0057076,2,nm0001727,actor,
tt0057076,3,nm0502322,actress,
tt0057076,4,nm0000938,actress,
tt0057076,5,nm0950109,director,
tt0057076,6,nm0537363,writer,screenplay by
tt0057076,7,nm0367820,writer,adapted by
tt0057076,8,nm0001220,writer,novel
tt0057076,9,nm0558435,writer,screenplay
tt0057115,10,nm0005701,cinematographer,director of photography
tt0057115,1,nm0000537,actor,
tt0057115,2,nm0001258,actor,
tt0057115,3,nm0000277,actor,
tt0057115,4,nm0000314,actor,
tt0057115,5,nm0836328,director,
tt0057115,6,nm0108595,writer,based on the book by
tt0057115,7,nm0165412,writer,screen play by
tt0057115,8,nm0122446,writer,screen play by
tt0057115,9,nm0000930,composer,
tt0058150,10,nm0558435,writer,story
tt0058150,1,nm0000125,actor,
tt0058150,2,nm0002085,actor,
tt0058150,3,nm0000303,actress,
tt0058150,4,nm0247881,actress,
tt0058150,5,nm0357891,director,
tt0058150,6,nm0537363,writer,screenplay by
tt0058150,7,nm0214989,writer,screenplay by
tt0058150,8,nm0001220,writer,novel
tt0058150,9,nm0367820,writer,adaptation
tt0058331,10,nm0911307,editor,film editor
tt0058331,1,nm0000267,actress,
tt0058331,2,nm0001813,actor,
tt0058331,3,nm0866835,actor,
tt0058331,4,nm0424318,actress,
tt0058331,5,nm0829038,director,
tt0058331,6,nm0909556,writer,screenplay
tt0058331,7,nm0196119,writer,screenplay
tt0058331,8,nm0871308,writer,"based on: The ""Mary Poppins"" books by"
tt0058331,9,nm0169344,cinematographer,director of photography
